julian_date,date,time,x,y,z,vx,vy,vz,range,radial_velocity
2460140.307314815,2023-Jul-14,19:22:32,3563.0250955717743,14632.8125717668,-799.9106715265598,-5.29573694924255,-2.907967315436936,-4.132909087758927,15081.585084948889,-4.094475468053528
2460140.310787037,2023-Jul-14,19:27:32,1957.170606764846,13678.857425819639,-671.6322082437855,-5.404029273272228,-3.469663173221595,-4.423009388489942,13834.47675494219,-4.216617636029383
2460140.314259259,2023-Jul-14,19:32:32,325.60289027879793,12538.72286932554,-534.3064874061292,-5.461709922364043,-4.154554927328588,-4.735217188931489,12554.32482686303,-4.311196969053301
2460140.317731482,2023-Jul-14,19:37:32,-1310.374887091569,11170.201156389621,-387.3979104656673,-5.423340691068539,-4.998857366126794,-5.058927909241306,11253.46850353087,-4.347780835818789
2460140.321203704,2023-Jul-14,19:42:32,-2910.583418034897,9519.453431971931,-230.95089774852568,-5.204515479153956,-6.042236289992652,-5.363167383792156,9957.149581782565,-4.267734758647983
2460140.324675926,2023-Jul-14,19:47:32,-4400.032690690811,7522.7252780960625,-66.54941708589786,-4.65170110598898,-7.304087329500573,-5.570155928554921,8715.280380674381,-3.960408960901666
2460140.328148148,2023-Jul-14,19:52:32,-5643.540744346288,5122.294365357084,100.6229574352653,-3.516491482963133,-8.704024688511648,-5.509018784629549,7622.176636501453,-3.238403077956631
2460140.331620371,2023-Jul-14,19:57:32,-6424.853972886403,2320.0721144251283,258.47025239655,-1.543005923467322,-9.892420914552712,-4.897162742913457,6835.809393219007,-1.888725144124417
2460140.335092593,2023-Jul-14,20:02:32,-6496.795655137469,-724.9543327400979,386.9074507328901,1.125671574072364,-10.20855503841293,-3.551557810434498,6548.5578522759015,-6.868395683380286
2460140.338564815,2023-Jul-14,20:07:32,-5764.371767909352,-3680.505998334836,467.42940693433025,3.649989034942585,-9.316500934674123,-1.804414189961765,6855.114625804304,1.945100582656091
2460140.342037037,2023-Jul-14,20:12:32,-4397.3789697844495,-6246.106201379785,497.39927430727226,5.2999510341986,-7.73894876370498,-5.271525017958644,7654.945494312742,3.271808130922104
2460140.345509259,2023-Jul-14,20:17:32,-2670.79746734612,-8323.608629390266,487.955898101095,6.094469495319094,-6.142606856143603,16.341542849375923,8755.211058868552,3.976111112191044
2460140.348981482,2023-Jul-14,20:22:32,-793.3584237072453,-9958.31284645877,452.319518981777,6.358643931137034,-4.804562898799178,1.504442960320838,10000.10026368061,4.273217937043535
2460140.352453704,2023-Jul-14,20:27:32,1117.327040216962,-11234.65564257245,400.3073795432197,6.34825289360401,-3.747639393675638,1.928647767794252,11297.174563584551,4.347928520249404
2460140.355925926,2023-Jul-14,20:32:32,3002.667456872959,-12229.87167224611,338.2351098994577,6.206327727665584,-2.920501457250736,2.188157926830523,12597.625806704229,4.308659900245795
2460140.359398148,2023-Jul-14,20:37:32,4835.344031135144,-13004.3071256408,270.03667795784077,6.005452091589279,-2.267301670772608,2.344990070904556,13876.79629903346,4.212772862404307
2460140.362870371,2023-Jul-14,20:42:32,6603.7037413126,-13603.174428755288,198.18251089816928,5.781654521671543,-1.743723227600931,2.436667868968075,15122.64970002921,4.090038157830087
2460140.366342593,2023-Jul-14,20:47:32,8303.855075802132,-14060.229432516751,124.2569925205826,5.552753825317253,-1.317331310037783,2.486028882539634,16329.712202458599,3.956000696561991
2460140.369814815,2023-Jul-14,20:52:32,9935.731933634861,-14400.940454691332,49.300305079465936,5.327466295853698,9.648255871597986,2.507271334324804,17495.95054738946,3.81884435062759
2460140.373287037,2023-Jul-14,20:57:32,11501.113340323622,-14644.8186409272,-25.989657041538518,5.109888415730329,6.69407349773957,2.509449442580745,18621.14380361453,3.682871350780839
2460140.376759259,2023-Jul-14,21:02:32,13002.611778455279,-14807.05729541546,-101.13586259133629,4.901739532229065,4.18817608821769,2.498484179452833,19706.01652474803,3.550293437247329
2460140.380231482,2023-Jul-14,21:07:32,14443.150957480291,-14899.676430149979,-175.8073126404997,4.703509702166548,2.039738458804124,2.478338599962611,20751.768009374733,3.422176651889194
2460140.383703704,2023-Jul-14,21:12:32,15825.69660040054,-14932.32730395951,-249.771726601487,4.51506011848948,3.608008334487022,2.451720982090549,21759.81290167526,3.298952466055922
2460140.387175926,2023-Jul-14,21:17:32,17153.12066742062,-14912.86512366552,-322.8648799106668,4.335942637219527,-1.442084756304214,2.420516160559226,22731.63734882314,3.180700737607357
2460140.390648148,2023-Jul-14,21:22:32,18428.13695509235,-14847.76275995668,-394.9702737364978,4.165571533385136,-2.868230114272322,2.386056726833228,23668.7196977093,3.067309333194247
2460140.394120371,2023-Jul-14,21:27:32,19653.27510691307,-14742.414177772249,-466.0053723963365,4.003315835731144,-4.129874896667902,2.349297560328468,24572.4878517437,2.95856544130381
2460140.397592593,2023-Jul-14,21:32:32,20830.875166218328,-14601.360299385271,-535.9121104218939,3.84854823704566,-5.252353136131725,2.310930595281148,25444.29768284306,2.854208212602631
2460140.401064815,2023-Jul-14,21:37:32,21963.092847534197,-14428.45951434142,-604.6502336209642,3.700669983851745,-6.25605310477,2.27146179453694,26285.423589727732,2.75395910218493
2460140.404537037,2023-Jul-14,21:42:32,23051.910076186523,-14227.0181158844,-672.192557211124,3.559122414253326,-7.157554695466781,2.231263715039834,27097.056029470477,2.657539166603455
2460140.408009259,2023-Jul-14,21:47:32,24099.14777342097,-13999.89131948846,-738.5215436054023,3.423391104713683,-7.970470261924081,2.190611998825815,27880.30298316427,2.564678649086213
2460140.411481482,2023-Jul-14,21:52:32,25106.47921754539,-13749.5624003583,-803.626802590523,3.293005997273631,-8.706074217169949,2.149711086143189,28636.19354837908,2.475121981125419
2460140.414953704,2023-Jul-14,21:57:32,26075.44309390801,-13478.20535152651,-867.5032458995711,3.167539426193941,-9.373780148469285,2.108712581396844,29365.68258909027,2.388630060527841
2460140.418425926,2023-Jul-14,22:02:32,27007.455781259552,-13187.73498613746,-930.1497118854787,3.046603138418458,-9.981506457226137,2.067728534028819,30069.65580660684,2.304980925210359
2460140.421898148,2023-Jul-14,22:07:32,27903.82267568987,-12879.847368213,-991.5679320517411,2.929844926953901,1.053595952298602,2.026841150364319,30748.934861368463,2.223969501146524
2460140.425370371,2023-Jul-14,22:12:32,28765.748490218713,-12556.05271859817,-1051.76174864362,2.816945221312883,1.104285515124158,1.986109968197139,31404.28233299794,2.14540683775625
2460140.428842593,2023-Jul-14,22:17:32,29594.346551059818,-12217.70240896504,-1110.736518737005,2.707613818022302,1.150709334882714,1.945577205923816,32036.406408214887,2.069119081734515
2460140.432314815,2023-Jul-14,22:22:32,30390.6471453247,-11866.01127116291,-1168.498657792621,2.601586841776618,1.193289744610392,1.90527178411626,32645.965240933838,1.994946341412783
2460140.435787037,2023-Jul-14,22:27:32,31155.60499685031,-11502.07616274409,-1225.055288500052,2.498623973659134,1.232392572808855,1.86521237174569,33233.57096721945,1.922741531904102
2460140.439259259,2023-Jul-14,22:32:32,31890.10595158472,-11126.891517532089,-1280.413969627536,2.398505952709971,1.268336167944535,1.825409709159624,33799.79337776851,1.85236925321909
2460140.442731482,2023-Jul-14,22:37:32,32594.9729533379,-10741.36245045912,-1334.582486063103,2.301032340635718,1.301398745373803,1.785868390111797,34345.163262577,1.783704729844203
2460140.446203704,2023-Jul-14,22:42:32,33270.97138609533,-10346.315864962098,-1387.568685909979,2.20601953119787,1.331824407990362,1.74658823596892,34870.17544851272,1.716632825683456
2460140.449675926,2023-Jul-14,22:47:32,33918.81385319193,-9942.509918501912,-1439.38035395764,2.113298982278989,1.359828110564137,1.707565360170725,35375.2915534325,1.65104713933884
2460140.453148148,2023-Jul-14,22:52:32,34539.16445662463,-9530.642130474724,-1490.025113374272,2.022715647890923,1.385599776889374,1.668792995831274,35860.94248091408,1.586849179423046
2460140.456620371,2023-Jul-14,22:57:32,35132.64263319688,-9111.356361170941,-1539.510349375811,1.934126588104211,1.409307732969081,1.630262141059697,36327.53067919713,1.523947616542309
2460140.460092593,2023-Jul-14,23:02:32,35699.82659774472,-8685.248846967483,-1587.843150048815,1.847399736393482,1.431101584550967,1.59196206317519,36775.432186609956,1.462257606972371
2460140.463564815,2023-Jul-14,23:07:32,36241.25643782232,-8252.873442629465,-1635.0302605842999,1.762412805739978,1.451114640572619,1.553880693088887,37204.998484143,1.401700182313204
2460140.467037037,2023-Jul-14,23:12:32,36757.43689891747,-7814.74619436084,-1681.078048001929,1.679052316767341,1.469465963413005,1.516004933755011,37616.55817407609,1.342201699210936
2460140.470509259,2023-Jul-14,23:17:32,37248.83989450068,-7371.349345515319,-1725.992474071072,1.597212733075236,1.486262110781435,1.478320901070239,38010.41850177823,1.283693343362494
2460140.473981482,2023-Jul-14,23:22:32,37715.906771267946,-6923.1348591689475,-1769.779074643267,1.516795690651783,1.501598621508829,1.440814111409681,38386.866736297474,1.226110682292636
2460140.477453704,2023-Jul-14,23:27:32,38159.050355527164,-6470.527528288779,-1812.4429439200871,1.437709309966293,1.51556128757623,1.403469626873466,38746.17142318666,1.169393261875989
2460140.480925926,2023-Jul-14,23:32:32,38578.65680467385,-6013.927731639696,-1853.988722585521,1.359867580569663,1.528227246907626,1.366272166800712,39088.58352252826,1.113484241863415
2460140.484398148,2023-Jul-14,23:37:32,38975.08728364787,-5553.713885301321,-1894.420588848626,1.283189809499502,1.53966592515486,1.32920619233678,39414.33744280389,1.058330066254796
2460140.487870371,2023-Jul-14,23:42:32,39348.67948453912,-5090.24463130955,-1933.742251689809,1.207600125774737,1.549939849713099,1.292255969341826,39723.65198064669,1.003880164692922
2460140.491342593,2023-Jul-14,23:47:32,39699.74900510628,-4623.860798816249,-1971.9569457230011,1.133027034275667,1.559105355155559,1.255405613826259,40016.731175235334,-9.500866814761888
2460140.494814815,2023-Jul-14,23:52:32,40028.5906001245,-4154.8871678802825,-2009.0674272010558,1.059403013143908,1.567213196004387,1.218639123219782,40293.765085149746,-8.969042291453961
2460140.498287037,2023-Jul-14,23:57:32,40335.47931783115,-3683.634061641003,-2045.0759707802063,-9.86664149569775,1.574309080090522,1.181940396092283,40554.930494645516,-8.442896639277926
2460140.501759259,2023-Jul-15,00:02:32,40620.6715322935,-3210.3987889924183,-2079.984366729061,-9.147498094710325,1.580434133576277,1.145293242401704,40800.39155553143,-7.92201880616631
2460140.505231482,2023-Jul-15,00:07:32,40884.40588127906,-2735.466956795211,-2113.793918325804,-8.436023371120756,1.585625306924349,1.108681385910047,41030.3003701659,-7.406016247231969
2460140.508703704,2023-Jul-15,00:12:32,41126.90411803433,-2259.1136682156853,-2146.505439223331,-7.731667812056831,1.589915729617367,1.072088460072682,41244.79752042097,-6.89451319983177
2460140.512175926,2023-Jul-15,00:17:32,41348.3718845083,-1781.6046214486269,-2178.119250609902,-7.033906444247989,1.593335020208418,1.035497998416644,41444.01254700902,-6.38714909485365
2460140.515648148,2023-Jul-15,00:22:32,41548.9994125857,-1303.197121445158,-2208.635178006948,-6.342236536364019,1.595909557259178,19.97786840428921,41628.0643829847,-5.883577088918757
2460140.519120371,2023-Jul-15,00:27:32,41728.962159198825,-824.1410156234281,-2238.052547574794,-5.656175484622825,1.597662715868545,19.245160241420223,41797.0617448546,-5.383462703663804
