julian_date,date,time,x,y,z,vx,vy,vz,range,radial_velocity
2460140.36633412,2023-Jul-14,20:47:31,-66075.13805867087,-402805.47640078474,-26014.73880544413,6.520169792575305,-1.537569086027746,3.07920195248729,409017.04404957383,-4.804948725184027
2460140.369806343,2023-Jul-14,20:52:31,-64153.01606770279,-403212.12190679274,-26107.483927673977,6.295016204593764,-1.184157781996074,3.099990260516193,409117.6181004614,-1.997366703515968
2460140.373278565,2023-Jul-14,20:57:31,-62297.35054177199,-403521.66838717595,-26200.54841203208,6.077565216454665,8.878687055573227,3.101696251696304,409141.9869429017,5.971196046525266
2460140.376750787,2023-Jul-14,21:02:31,-60505.530431021325,-403749.318105443,-26293.4547845269,5.869540276334257,6.364336596768978,3.090246864569516,409103.62605072994,2.201267828902674
2460140.380223009,2023-Jul-14,21:07:31,-58774.63255815828,-403907.0977068529,-26385.8717468979,5.671433556247552,4.207636521688846,3.069608934226391,409012.976857903,3.796641568836459
2460140.383695231,2023-Jul-14,21:12:31,-57101.69127162191,-404004.66343850415,-26477.56681113475,5.483107314695042,2.340180526678804,3.042493192972389,408878.26155272266,5.14809796950259
2460140.387167454,2023-Jul-14,21:17:31,-55483.83445600345,-404049.8743156384,-26568.37560556683,5.304113910804185,14.19377117272971,3.010786105583187,408706.0501176156,6.303269823986229
2460140.390639676,2023-Jul-14,21:22:31,-53918.34805872185,-404049.2061582593,-26658.181524709187,5.133867819758317,-14.487538067495281,2.975821368667845,408501.66204888973,7.298503099143029
2460140.394111898,2023-Jul-14,21:27:31,-52402.70214706632,-404008.05524559395,-26746.90195389665,4.971738108415552,-1.993873323871339,2.938554624966416,408269.45594762824,8.16193500513991
2460140.39758412,2023-Jul-14,21:32:31,-50934.55639113389,-403930.96433798206,-26834.47876794418,4.817097423249259,-3.124148502570877,2.89967834482215,408013.0417480806,8.915636981298489
2460140.401056343,2023-Jul-14,21:37:31,-49511.75481071242,-403821.79330101283,-26920.871666571504,4.669346923141544,-4.135601248714529,2.859698873284578,407735.4386616032,9.57713153148145
2460140.404528565,2023-Jul-14,21:42:31,-48132.31524412551,-403683.8496252365,-27006.05342868724,4.527927841174897,-5.044819619523591,2.818989043455858,407439.19440918235,-1.016048282859869
2460140.408000787,2023-Jul-14,21:47:31,-46794.41656615265,-403519.9895062694,-27090.00648750222,4.392325644574872,-5.865422366897982,2.777824699312613,407126.4764227442,-1.067709248505279
2460140.411473009,2023-Jul-14,21:52:31,-45496.385326982614,-403332.6970283961,-27172.720428824923,4.262070168967122,-6.608688971141871,2.736410430360364,406799.1424591801,-1.113628821964394
2460140.414945231,2023-Jul-14,21:57:31,-44236.68270079186,-403124.1468576035,-27254.190144288877,4.136733648564703,-7.284037072170955,2.694897952378997,406458.7958901397,-1.154576492113941
2460140.418417454,2023-Jul-14,22:02:31,-43013.8921972019,-402896.25437063724,-27334.41445505398,4.015927738189021,-7.899388342128397,2.653399398625482,406106.82944447314,-1.1911919064807
2460140.421889676,2023-Jul-14,22:07:31,-41826.70833487841,-402650.7161065025,-27413.39507762581,3.899300147091765,-8.461451822605214,2.611997038975128,405744.46014812356,-1.224010508169145
2460140.425361898,2023-Jul-14,22:12:31,-40673.926339444464,-402389.0426886232,-27491.135840921488,3.786531229231287,-8.975945502796726,2.570750459726781,405372.7574832295,-1.253483392060942
2460140.42883412,2023-Jul-14,22:17:31,-39554.43284482311,-402112.5858316438,-27567.64208996709,3.677330713300652,-9.44777119400377,2.529701916514249,404992.66626975767,-1.279992831316972
2460140.432306343,2023-Jul-14,22:22:31,-38467.19754330862,-401822.5606609664,-27642.92022915679,3.571434663257817,-9.881153727901488,2.488880358641103,404605.02540350077,-1.303864526596198
2460140.435778565,2023-Jul-14,22:27:31,-37411.26570770957,-401520.06428644847,-27716.977370874672,3.468602705878673,1.027975264660998,2.448304477344035,404210.5833115012,-1.3253773502097
2460140.439250787,2023-Jul-14,22:32:31,-36385.7515041342,-401206.09135958005,-27789.82106417348,3.368615531665788,1.064675249374173,2.407985030289145,403810.01078642294,-1.344771157722423
2460140.442723009,2023-Jul-14,22:37:31,-35389.83201460288,-400881.54718370026,-27861.4590846861,3.271272658936277,1.098493631992966,2.367926624743049,403403.9117122525,-1.36225309573449
2460140.446195231,2023-Jul-14,22:42:31,-34422.7418932772,-400547.25882580114,-27931.89927161997,3.176390442639259,1.129674591809287,2.328129092643404,402992.83208170644,-1.378002729910375
2460140.449667454,2023-Jul-14,22:47:31,-33483.76858599149,-400203.98458568123,-28001.14940115,3.083800305906415,1.158433148984116,2.288588555717376,402577.267620468,-1.392176240387464
2460140.453139676,2023-Jul-14,22:52:31,-32572.24804979251,-399852.4221068725,-28069.21708805088,2.993347171599654,1.184959283547925,2.249298253588136,402157.67026837356,-1.404909874583609
2460140.456611898,2023-Jul-14,22:57:31,-31687.560915776932,-399493.2153581119,-28136.10970931852,2.904888071832048,1.209421370085496,2.210249189485612,401734.45371728897,-1.416322804666237
2460140.46008412,2023-Jul-14,23:02:31,-30829.12904496292,-399126.9606706405,-28201.83434495621,2.818290914952641,1.231969056494523,2.171430634764286,401307.998166339,-1.426519504651519
2460140.463556343,2023-Jul-14,23:07:31,-29996.412432803318,-398754.21198228,-28266.39773217938,2.733433391331528,1.252735688432971,2.132830523521382,400878.65442450513,-1.43559173751968
2460140.467028565,2023-Jul-14,23:12:31,-29188.90642325929,-398375.485411984,-28329.80623011748,2.650202001216694,1.271840360396506,2.094435761233385,400446.7474664461,-1.443620223876288
2460140.470500787,2023-Jul-14,23:17:31,-28406.13919811726,-397991.2632668242,-28392.06579271704,2.568491189822696,1.289389658291755,2.056232465801487,400012.5795282486,-1.450676049120501
2460140.473973009,2023-Jul-14,23:22:31,-27647.66951118252,-397601.9975656512,-28453.1819480609,2.488202576528062,1.305479145797352,2.018206155203193,399576.4328142554,-1.456821854752318
2460140.477445231,2023-Jul-14,23:27:31,-26913.084641388938,-397208.1131501937,-28513.1597826248,2.409244266779225,1.320194636869173,1.980341892830815,399138.5718745323,-1.462112850565133
2460140.480917454,2023-Jul-14,23:32:31,-26201.99854087253,-396810.0104417662,-28572.00392940221,2.331530236525019,1.333613288933887,1.942624399078818,398699.2457014087,-1.466597677498724
2460140.484389676,2023-Jul-14,23:37:31,-25514.050158111,-396408.0678934746,-28629.718558940433,2.254979780475982,1.345804545012202,1.90503813596987,398258.6895866458,-1.470319145365567
2460140.487861898,2023-Jul-14,23:42:31,-24848.90191795497,-396002.6441794543,-28686.30737258232,2.179517016470608,1.356830948021282,1.867567370110775,397817.1267734987,-1.473314865258788
2460140.49133412,2023-Jul-14,23:47:31,-24206.238342783003,-395594.0801565461,-28741.77359732529,2.105070439242366,1.366748846453828,1.830196218166191,397374.7699327819,-1.475617792905265
2460140.494806343,2023-Jul-14,23:52:31,-23585.76480085856,-395182.70062853553,-28796.11998182427,2.031572517719977,1.375609007357969,1.79290867815883,396931.82248758,-1.477256696375279
2460140.498278565,2023-Jul-14,23:57:31,-22987.20636961789,-394768.8159387175,-28849.34879315467,1.958959330726847,1.383457149876594,1.755688649215789,396488.4798075797,-1.478256559249712
2460140.501750787,2023-Jul-15,00:02:31,-22410.30680306035,-394352.72341291,-28901.46181402091,1.887170236582149,1.390334410424739,1.71851994183739,396044.9302909629,-1.478638928465249
2460140.505223009,2023-Jul-15,00:07:31,-21854.827593658047,-393934.7086719642,-28952.46034015313,1.816147572651307,1.396277748792621,1.681386280330575,395601.35634924454,-1.478422214519903
2460140.508695231,2023-Jul-15,00:12:31,-21320.547120376552,-393515.0468303623,-29002.3451776728,1.745836381387032,1.40132030298178,1.644271298712801,395157.9353084274,-1.477621950456854
2460140.512167454,2023-Jul-15,00:17:31,-20807.259875267882,-393094.00359516806,-29051.11664025389,1.676184159787413,1.405491699357466,1.607158531102729,394714.8402379121,-1.476251015000714
2460140.515639676,2023-Jul-15,00:22:31,-20314.77576206909,-392671.8362779523,-29098.774545922122,1.607140629582243,1.408818323676155,1.570031397404713,394272.2407172949,-1.474319824353305
2460140.519111898,2023-Jul-15,00:27:31,-19842.91946093534,-392248.7947306772,-29145.31821336155,1.538657525751769,1.411323557693029,1.532873184904989,393830.3035498413,-1.471836496433341
2460140.52258412,2023-Jul-15,00:32:31,-19391.52985413637,-391825.1222152546,-29190.7464576147,1.470688401255198,1.413027985334085,1.49566702625202,393389.1934304193,-1.468806990737895
2460140.526056343,2023-Jul-15,00:37:31,-18960.4595081416,-391401.0562153893,-29235.057585071692,1.403188446077309,1.413949571809107,1.458395874170614,392949.07357478864,-1.465235226492063
2460140.529528565,2023-Jul-15,00:42:31,-18549.57420805748,-390976.829198384,-29278.24938765535,1.336114318901932,1.414103818524332,1.421042473157254,392510.1063164212,-1.461123181319068
2460140.533000787,2023-Jul-15,00:47:31,-18158.75254086029,-390552.6693337936,-29320.31913611392,1.269423989894302,1.413503896211141,1.38358932831758,392072.4536764032,-1.4564709722919
2460140.536473009,2023-Jul-15,00:52:31,-17787.885524301,-390128.8011751499,-29361.26357233716,1.203076593223848,1.412160758305966,1.346018671432687,391636.2779114692,-1.451276920907949
2460140.539945231,2023-Jul-15,00:57:31,-17436.87627873859,-389705.44631032384,-29401.07890061781,1.137032288074777,1.410083236285297,1.308312424268514,391201.7420447014,-1.445537603248922
2460140.543417454,2023-Jul-15,01:02:31,-17105.63973958572,-389282.8239862802,-29439.76077774854,1.071252127092456,1.407278118374521,1.270452159135504,390769.0103837365,-1.43924788635234
2460140.546889676,2023-Jul-15,01:07:31,-16794.10240814951,-388861.1517116351,-29477.304301936532,1.005697931037498,1.403750212780965,1.232419056499847,390338.2490290999,-1.432400951580046
